,video_id,t0_3B_vanilla_title_summarized,title
0,yWYkoZKHLfg,YouTubers Clap at the Start of Their Videos,Why do YouTubers clap at the start of videos?
1,8UmsfXWzvEA,The Orkney Islands Have a huge surplus of renewable energy,The Islands With Too Much Power
2,sehyLDPeB6M,The Great Fire of London,Why 18th-Century Firefighters Let Some Buildings Burn
3,NUyXiiIGDTo,There's No Torpenhow Hill Marked On Any Official Map,"Hill Hill Hill Hill, debunked, debunked"
4,8Gk7EvCQGoo,Neurosurgeons Can Use Infrared and Electromagnetic Tracking to Show You Where You Are in the Brain,How Neurosurgeons Navigate Inside The Brain
5,a4N4yQB_B4c,Cape Reinga: Where Two Oceans Meet,"Where two oceans meet, debunked"
6,2F0V9MjrhXE,Diving World Champions Can Stay Underwater For One Or Two Hours,The Fishermen That Hold Their Breath For 10 Minutes
7,GFWsYJ0_KMI,The Multi-Axis Trainer,"Why NASA Spun Astronauts Around, But Doesn't Any More"
8,lyvylw5Lwx0,The Tree That Owns Itself,The other tree that owns itself
9,u9FVoDiuq6Q,Why London's Pavement Keeps Exploding,Why do London's manholes keep exploding?
10,2yWWFLI5kFU,Ogham: A Space That's Not a Space,"᚛ᚈᚑᚋ ᚄᚉᚑᚈᚈ᚜ and ᚛ᚑᚌᚐᚋ᚜"
11,DpfrGZJyKmo,Wing-Walking: The Most Dangerous Stunt,Wingwalking used to be a lot more dangerous
12,kHMNX3IXnvs,The Sourtoe Cocktail,The sourtoe cocktail has a human toe in it
13,cfSIC8jwbQs,The Dutch Water Authority's Bond is still paying interest,The centuries-old debt that's still paying interest
14,KGne-ZUZCg0,Play The Mind: Song Translations,Why Song Translations Usually Suck
15,cdPymLgfXSY,How To Use Touchscreen Paving in Britain,The Little-Known Patterns on British Streets
16,TGyHJ-xmcuc,Switzerland's Only country with enough nuclear fallout shelters,Fallout Shelters and Zurich's Water: Swiss Resilience
17,EiZU3BvqvP4,A Perpetual Motion Machine Doesn't Just Keep Going,"Wheels, Bombs, and Perpetual Motion Machines"
18,PBZ728jH7j0,The Arctic is a dangerous place for oil,"Cold Wars, Cruise Ships, and the Northwest Passage"
19,QnM2tVZr7Fs,The North Pole: Who First Made It To The North Pole?,No-One Knows Who Got To The North Pole First
20,pt2fSq46Pcw,Mountain Dew is Better for Your Teeth Than Coca-Cola,Why Mountain Dew Rots Your Teeth More Than Coca-Cola
21,UtQGYz4f3YQ,The World's Longest Lasting Battery,The Battery That's Lasted 176 Years
