video_id,title
P0fMwA3X5KI,"NVIDIA's Image Restoration AI: Almost Perfect!"
LBezOcnNJ68,"NVIDIA's AI Makes Amazing Slow-Mo Videos!"
eSaShQbUJTQ,"DeepMind's AI Takes An IQ Test!"
MvFABFWPBrw,"DeepMind Has A Superhuman Level Quake 3 AI Team!"
xHpwLiTieu4,"This is How You Hack A Neural Network"
8GUYAVXmhsI,"DeepMind's AI Learns The Piano From The Masters of The Past"
yEOEqaEgu94,"OpenAI + DOTA2: 180 Years of Learning Per Day"
2FHHuRTkr_Y,"OpenAI's Gaming AI Contest: Results"
lCoR-4OlIZI,"Style Transfer...For Smoke and Fluids!"
gnctSz2ofU4,"DeepMind's AI Learns To See"
KEdrBMZx53w,"Infinite Walking in Virtual Reality"
WMr9ljLomUI,"An AI For Image Manipulation Detection"
YTup-cvELK0,"Beautiful Layered Materials, Instantly"
Te0L5_u_wIg,"Faceforensics: This AI Detects DeepFakes!"
Nq2xvsVojVo,"Better Video Impersonations with AI"
9S2g7iixB9c,"Curiosity-Driven AI: How Effective Is It?"
SWW0nVQNm2w,"Neural Image Stitching And Morphing"
tU484zM3pDY,"NVIDIA's AI Removes Objects From Your Photos!"
EQX1wsL2TSs,"This Technique Impersonates People"
bcZFQ3f26pA,"This AI Learned To See In The Dark!"
KL6U6iasUxs,"AI-Based Large-Scale Texture Synthesis"
cnquEovq1I4,"We Taught an AI To Synthesize Materials"
wm8tK91k37U,"This Evolving AI Finds Bugs in Games"
fklY2nH7AJo,"AI Learns Painterly Harmonization"
DglrYx9F3UU,"This AI Reproduces Human Perception"
gvjCu7zszbQ,"This AI Learns From Its Dreams "
UMSNBLAfC7o,"This Robot Adapts Like Animals"
m9XyXiL6n8w,"AI Learns Real-Time 3D Face Reconstruction"
XcxzKLrCpyk,"AI Photo Translation"
GdTBqBnqhaQ,"4 Experiments Where the AI Outsmarted Its Creators!"
6FzVhIV_t3s,"Gaussian Material Synthesis (SIGGRAPH 2018)"
ni6P5KU3SDU,"Evolving Generative Adversarial Networks"
AbxPbfODGcs,"Das täuscht deine Sicht | Two Minute Papers # 241"
SA4YEAWVpbk,"One Pixel Attack Defeats Neural Networks"
veWkBsK0nwU,"DeepMind's AI Learns Complex Behaviors From Scratch"
oWpp1YYcCsU,"DeepMind's AI Masters Even More Atari Games"
dxOHmvTaCN4,"AI Learns Human Pose Estimation From Videos"
UPcR7S8ue1A,"AI-Based Animoji Without The iPhone X"
iBaWVuaSQ-Q,"Eine Foto verbessernde KI"
pVgC-7QTr40,"Building Blocks of AI Interpretability"
izZofvgaIig,"Why Should We Trust An AI?"
hzpxXZJQNFg,"DeepMind's WaveNet, 1000 Times Faster"
uGhyOBSzdTs,"Bubble Collision Simulations in Milliseconds"
HANeLG0l2GA,"This AI Sings"
3yOZxmlBG3Y,"Pruning Makes Faster and Smaller Neural Networks"
bdM9c2OFYuw,"Google's Text Reader AI: Almost Perfect"
pAiiPNg0kDE,"SLAC Dataset From MIT and Facebook "
WhaRsrlaXLk,"DeepMind Control Suite"
DW1AuOC9TQc,"Reinforcement Learning With Noise (OpenAI)"
FMEk8cHF-OA,"DeepMind's AI Learns Object Sounds"
